qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,stitle,staxids,sscinames,sphylums
contig_255,XP_035212025.1,33.5,475,272,8,40038,38657,3,444,1.73e-60,231,XP_035212025.1 tigger transposable element-derived protein 6-like [Stegodyphus dumicola],202533,Stegodyphus dumicola,Arthropoda
contig_256,XP_045030620.1,26,719,424,15,2114,269,79,792,1.0099999999999999e-56,226,XP_045030620.1 uncharacterized protein LOC123473640 [Daphnia magna],35525,Daphnia magna,Arthropoda
contig_259,KAI8598473.1,41,122,63,3,968,1324,8,123,2.23e-10,74.7,KAI8598473.1 hypothetical protein EDD21DRAFT_382367 [Dissophora ornata],979620,Dissophora ornata,Mucoromycota
contig_260,MDH3004982.1,27.6,391,208,17,1139,61,16,359,1.43e-4,59.7,MDH3004982.1 hypothetical protein [Candidatus Shikimatogenerans bostrichidophilus],2943807,2943807,0
contig_261,CAG9565519.1,32.3,316,201,3,28523,27617,35,344,5.4099999999999995e-28,132,CAG9565519.1 unnamed protein product [Danaus chrysippus],151541,Danaus chrysippus,Arthropoda
contig_263,YP_010530156.1,25.2,1843,988,85,9786,4877,547,2182,1.05e-5,65.9,YP_010530156.1 RNA polymerase b''-subunit [Ulva torta],932731,Ulva torta,Chlorophyta
contig_264,CAF0824729.1,63.4,516,102,6,42069,40532,5,435,4.43e-191,606,CAF0824729.1 unnamed protein product [Brachionus calyciflorus],104777,Brachionus calyciflorus,Rotifera
contig_265,KAF6774959.1,31.3,335,157,9,35453,36434,75,343,9.56e-27,134,KAF6774959.1 hypothetical protein AHF37_05205 [Paragonimus kellicotti],100269,Paragonimus kellicotti,Platyhelminthes
contig_266,CAI6376720.1,38.2,372,209,6,7973,6887,27,382,1.62e-50,199,CAI6376720.1 unnamed protein product [Macrosiphum euphorbiae],13131,Macrosiphum euphorbiae,Arthropoda
contig_267,AQX44070.1,27,488,273,19,3352,1997,88,524,6.02e-6,65.1,AQX44070.1 DNA-directed RNA polymerase subunit B [Plasmodium ovale wallikeri],864142,Plasmodium ovale wallikeri,Apicomplexa
contig_268,QHD45061.1,25.6,871,476,41,3356,1020,989,1771,5.18e-8,73.9,QHD45061.1 DNA-directed RNA polymerase subunit beta [Ulva pertusa],3120,Ulva pertusa,Chlorophyta
contig_269,TBU20858.1,35.1,607,368,9,2122,344,70,664,1.0999999999999998e-107,375,TBU20858.1 reverse transcriptase [Hamiltosporidium tvaerminnensis],1176355,Hamiltosporidium tvaerminnensis,Microsporidia
contig_27,XP_033755738.1,30.5,485,312,9,5286,6675,5,483,2.53e-56,219,XP_033755738.1 tigger transposable element-derived protein 6-like [Pecten maximus],6579,Pecten maximus,Mollusca
contig_270,XP_033755738.1,30.5,518,339,8,49372,47867,8,516,3.89e-64,244,XP_033755738.1 tigger transposable element-derived protein 6-like [Pecten maximus],6579,Pecten maximus,Mollusca
contig_271,CAF1266670.1,37.3,434,213,11,13068,14331,66,450,2.5099999999999996e-55,219,CAF1266670.1 unnamed protein product [Adineta steineri],433720,Adineta steineri,Rotifera
contig_272,CAD8176960.1,35.8,444,155,7,58132,59414,43,369,3.05e-67,248,CAD8176960.1 unnamed protein product [Paramecium octaurelia],43137,Paramecium octaurelia,Ciliophora
contig_273,KAI5148113.1,30.3,758,471,16,11733,9591,174,917,4.33e-83,311,"KAI5148113.1 hypothetical protein ENBRE01_0127, partial [Enteropsectra breve]",1912989,Enteropsectra breve,Microsporidia
contig_274,KAG0442155.1,35.6,464,262,10,14000,15326,4,451,8.03e-74,272,KAG0442155.1 Tigger transposable element-derived protein 6 [Dictyocoela muelleri],279532,Dictyocoela muelleri,Microsporidia
contig_275,MBO4957073.1,23,382,227,10,11864,10858,11,368,8.28e-6,65.9,MBO4957073.1 hypothetical protein [Rickettsiales bacterium],2026788,Rickettsiales bacterium,Proteobacteria
contig_276,KAF7684273.1,35.9,184,117,1,11,562,31,213,3.17e-33,145,KAF7684273.1 hypothetical protein TCON_0527 [Thelohania contejeani],164912,Thelohania contejeani,Microsporidia
contig_277,KAF7685601.1,35,334,207,1,17537,16567,1,325,5.6e-38,160,KAF7685601.1 hypothetical protein CDIK_3650 [Cucumispora dikerogammari],658444,Cucumispora dikerogammari,Microsporidia
contig_278,KAI9551044.1,26.6,576,353,15,2578,1008,57,613,1.05e-44,187,KAI9551044.1 putative zinc finger BED domain-containing protein 4-like [Daphnia sinensis],1820382,Daphnia sinensis,Arthropoda
contig_279,XP_028535162.1,25.7,505,291,23,10842,12226,31,493,6.27e-4,60.1,"XP_028535162.1 conserved Plasmodium protein, unknown function [Plasmodium relictum]",85471,Plasmodium relictum,Apicomplexa
contig_28,MCJ8746933.1,36.1,537,196,10,32349,30926,411,859,2.8700000000000002e-65,258,MCJ8746933.1 hypothetical protein [Pangasius djambal],1691987,Pangasius djambal,Chordata
contig_281,XP_033755738.1,34,456,278,5,20056,21363,5,453,2.12e-68,255,XP_033755738.1 tigger transposable element-derived protein 6-like [Pecten maximus],6579,Pecten maximus,Mollusca
contig_282,WP_098974308.1,31,248,121,10,2221,1543,83,301,1.35e-4,58.5,WP_098974308.1 hypothetical protein [Fusobacterium polymorphum],76857,Fusobacterium nucleatum subsp. polymorphum,Fusobacteria
contig_283,XP_023313526.1,74.2,93,24,0,3866,3588,27,119,3.29e-34,154,XP_023313526.1 U4/U6.U5 tri-snRNP-associated protein 2-like [Trichogramma pretiosum],7493,Trichogramma pretiosum,Arthropoda
contig_284,CAG4951288.1,46,374,116,5,9734,10851,9,296,6.969999999999999e-89,305,CAG4951288.1 unnamed protein product [Parnassius apollo],110799,Parnassius apollo,Arthropoda
contig_285,TBU03337.1,33.1,1047,639,26,5756,8821,110,1120,3.74e-157,535,"TBU03337.1 reverse transcriptase, partial [Hamiltosporidium magnivora]",148818,Hamiltosporidium magnivora,Microsporidia
contig_286,KHJ87321.1,40.1,489,224,12,26289,24898,86,528,1.35e-77,288,"KHJ87321.1 putative calcium-translocating P-type ATPase, PMCA-type, partial [Oesophagostomum dentatum]",61180,Oesophagostomum dentatum,Nematoda
contig_287,YP_010530156.1,26,770,424,35,8766,6692,1129,1821,1.92e-5,66.2,YP_010530156.1 RNA polymerase b''-subunit [Ulva torta],932731,Ulva torta,Chlorophyta
contig_288,YP_004841734.1,23.2,1242,736,49,14104,10684,95,1211,4.69e-7,71.2,YP_004841734.1 Ymf77 [Ichthyophthirius multifiliis],5932,Ichthyophthirius multifiliis,Ciliophora
contig_289,ETB62007.1,25.7,619,361,23,3582,1921,587,1165,4.89e-5,62.8,ETB62007.1 hypothetical protein YYC_01754 [Plasmodium yoelii 17X],1323249,Plasmodium yoelii 17X,Apicomplexa
contig_290,XP_015913217.2,37.9,390,225,7,1625,481,4,381,4.919999999999999e-56,217,XP_015913217.2 tigger transposable element-derived protein 4-like [Parasteatoda tepidariorum],114398,Parasteatoda tepidariorum,Arthropoda
contig_291,KAF7685601.1,36.5,329,198,2,32805,31850,1,325,7.15e-43,175,KAF7685601.1 hypothetical protein CDIK_3650 [Cucumispora dikerogammari],658444,Cucumispora dikerogammari,Microsporidia
contig_292,KAJ2718865.1,61.5,117,43,1,16200,15850,38,152,7.96e-38,153,KAJ2718865.1 40S ribosomal protein S11-B [Coemansia sp. Benny D115],2663910,Coemansia sp. Benny D115,Zoopagomycota
contig_293,YP_010530156.1,26.4,1781,912,94,50888,55608,556,2130,6.62e-14,95.9,YP_010530156.1 RNA polymerase b''-subunit [Ulva torta],932731,Ulva torta,Chlorophyta
contig_294,XP_033755738.1,30.9,517,328,9,35605,34133,5,514,4.0199999999999996e-54,214,XP_033755738.1 tigger transposable element-derived protein 6-like [Pecten maximus],6579,Pecten maximus,Mollusca
contig_296,CAD7430572.1,51.2,518,202,6,7410,5909,8,486,4.02e-140,461,CAD7430572.1 unnamed protein product [Timema monikensis],170555,Timema monikensis,Arthropoda
contig_297,WP_130624175.1,26.3,688,386,27,9082,7230,8,635,8.49e-8,72.4,WP_130624175.1 glycine--tRNA ligase subunit beta [endosymbiont of Euscepes postfasciatus],650377,endosymbiont of Euscepes postfasciatus,Proteobacteria
contig_298,XP_033002784.1,44.3,185,101,1,33943,34491,239,423,8.029999999999999e-37,163,XP_033002784.1 T-complex protein 1 subunit theta isoform X2 [Lacerta agilis],80427,Lacerta agilis,Chordata
contig_299,YP_010530156.1,24.9,1050,590,44,4632,7538,806,1725,1.69e-5,65.5,YP_010530156.1 RNA polymerase b''-subunit [Ulva torta],932731,Ulva torta,Chlorophyta
contig_3,EYC42965.1,41,563,187,4,72611,70923,22,439,1.73e-123,418,EYC42965.1 hypothetical protein Y032_0509g2725 [Ancylostoma ceylanicum],53326,Ancylostoma ceylanicum,Nematoda
contig_30,KAJ8440658.1,28.8,344,164,12,3207,2226,328,606,5.53e-23,120,KAJ8440658.1 hypothetical protein Cgig2_031075 [Carnegiea gigantea],171969,Carnegiea gigantea,Streptophyta
contig_300,KHN77066.1,53.8,554,235,8,27186,25560,182,721,1.04e-156,541,KHN77066.1 Chromatin-remodeling complex ATPase chain Iswi [Toxocara canis],6265,Toxocara canis,Nematoda
contig_301,YP_010530156.1,25.9,1110,641,47,6587,3496,1118,2114,5.85e-7,70.9,YP_010530156.1 RNA polymerase b''-subunit [Ulva torta],932731,Ulva torta,Chlorophyta
contig_302,XP_033755738.1,33.8,397,249,4,3871,2718,5,396,3.41e-56,217,XP_033755738.1 tigger transposable element-derived protein 6-like [Pecten maximus],6579,Pecten maximus,Mollusca
contig_303,XP_033755738.1,34.7,386,233,6,34178,35298,5,380,9.499999999999999e-52,208,XP_033755738.1 tigger transposable element-derived protein 6-like [Pecten maximus],6579,Pecten maximus,Mollusca
contig_304,PBC27135.1,47.3,819,395,9,139468,141918,32,815,7.409999999999998e-231,739,PBC27135.1 DNA replication licensing factor Mcm6 [Apis cerana cerana],94128,Apis cerana cerana,Arthropoda
contig_305,WGH24690.1,23.4,1015,565,44,2288,5015,5,908,6.43e-4,58.5,WGH24690.1 MAG: hypothetical protein NHF92_00375 [Candidatus Shikimatogenerans bostrichidophilus],2943807,2943807,0
contig_306,KAG0442155.1,33.2,509,297,12,10418,11861,4,496,5.03e-73,269,KAG0442155.1 Tigger transposable element-derived protein 6 [Dictyocoela muelleri],279532,Dictyocoela muelleri,Microsporidia
contig_307,KAF6031878.1,31.4,264,131,10,19754,19029,59,294,2.48e-21,113,KAF6031878.1 EXOG [Bugula neritina],10212,Bugula neritina,Bryozoa
contig_308,WP_011672405.1,27.1,295,172,9,8298,7468,11,276,1.89e-6,65.9,WP_011672405.1 hypothetical protein [Candidatus Carsonella ruddii],114186;387662,Candidatus Carsonella ruddii0Candidatus Carsonella ruddii PV,Proteobacteria
contig_309,XP_033755738.1,32.8,485,294,8,7712,6344,5,481,5.24e-58,224,XP_033755738.1 tigger transposable element-derived protein 6-like [Pecten maximus],6579,Pecten maximus,Mollusca
contig_31,KAF7685601.1,27,259,169,5,2596,1875,72,325,7.74e-6,62.8,KAF7685601.1 hypothetical protein CDIK_3650 [Cucumispora dikerogammari],658444,Cucumispora dikerogammari,Microsporidia
contig_310,KXJ12267.1,49,2424,896,23,54745,47820,669,2861,0,1986,"KXJ12267.1 Dynein heavy chain 8, axonemal [Exaiptasia diaphana]",2652724,Exaiptasia diaphana,Cnidaria
contig_311,CAH0106566.1,57.9,1386,453,22,857,4830,1,1312,0,1400,CAH0106566.1 unnamed protein product [Daphnia galeata],27404,Daphnia galeata,Arthropoda
contig_312,CAF1421249.1,36.3,1379,643,23,18087,22084,143,1328,9.579999999999998e-237,779,CAF1421249.1 unnamed protein product [Adineta steineri],433720,Adineta steineri,Rotifera
contig_313,XP_029635052.1,47.7,287,144,2,1942,2802,4,284,6.179999999999999e-82,285,XP_029635052.1 uncharacterized protein LOC115210589 [Octopus sinensis],2607531,Octopus sinensis,Mollusca
contig_314,KAJ8786588.1,24.9,917,530,25,76342,73735,826,1626,5.81e-62,254,KAJ8786588.1 hypothetical protein J1605_006077 [Eschrichtius robustus],9764,Eschrichtius robustus,Chordata
contig_315,OQR74717.1,86,470,48,2,48915,47508,1,452,5.16e-266,822,OQR74717.1 tubulin beta-1 chain-like [Tropilaelaps mercedesae],418985,Tropilaelaps mercedesae,Arthropoda
contig_316,XP_058053543.1,38.9,157,76,3,25967,26433,300,436,1.03e-16,101,XP_058053543.1 serine/threonine-protein kinase haspin homolog [Anopheles bellator],139047,Anopheles bellator,Arthropoda
contig_317,MBY8980326.1,22.7,2221,1405,79,9317,3102,400,2442,5.1e-32,152,MBY8980326.1 hypothetical protein [Candidatus Lokiarchaeota archaeon],2053489,Candidatus Lokiarchaeota archaeon,Candidatus Lokiarchaeota
contig_319,MCK4382177.1,21.8,1362,850,46,5230,1477,18,1264,9.24e-13,89.7,MCK4382177.1 hypothetical protein [Candidatus Lokiarchaeota archaeon],2053489,Candidatus Lokiarchaeota archaeon,Candidatus Lokiarchaeota
contig_32,KAG0442155.1,34.3,467,269,10,24803,23474,4,451,1.71e-61,234,KAG0442155.1 Tigger transposable element-derived protein 6 [Dictyocoela muelleri],279532,Dictyocoela muelleri,Microsporidia
contig_320,TKJ23625.1,22.8,806,489,24,2487,311,276,1017,6.46e-7,69.7,TKJ23625.1 MAG: hypothetical protein CEE43_02895 [Candidatus Lokiarchaeota archaeon Loki_b32],2012491,Candidatus Lokiarchaeota archaeon Loki_b32,Candidatus Lokiarchaeota
contig_321,KAG0442155.1,33.1,535,308,14,2854,4391,2,507,3.2399999999999997e-68,255,KAG0442155.1 Tigger transposable element-derived protein 6 [Dictyocoela muelleri],279532,Dictyocoela muelleri,Microsporidia
contig_322,CAE1276332.1,31.2,221,129,8,871,232,23,225,7.99e-8,64.3,CAE1276332.1 unnamed protein product [Sepia pharaonis],158019,Sepia pharaonis,Mollusca
contig_324,PIO60400.1,33.8,470,263,9,26517,27915,187,611,2.14e-63,244,PIO60400.1 hypothetical protein TELCIR_18102 [Teladorsagia circumcincta],45464,Teladorsagia circumcincta,Nematoda
contig_325,YP_010530066.1,26.3,1226,710,50,8296,11709,1108,2214,1.52e-7,72.8,YP_010530066.1 RNA polymerase b''-subunit [Ulva tepida],1451047,Ulva tepida,Chlorophyta
contig_328,XP_001653770.1,60.9,279,106,2,19582,18749,30,306,7.17e-103,348,XP_001653770.1 serine/threonine-protein phosphatase alpha-2 isoform isoform X1 [Aedes aegypti],7159,Aedes aegypti,Arthropoda
contig_329,RIB05885.1,53.2,476,150,6,7792,9203,44,446,5.64e-138,454,RIB05885.1 isocitrate dehydrogenase [NADP] [Gigaspora rosea],44941,Gigaspora rosea,Mucoromycota
contig_33,CAG2248899.1,36.9,168,65,1,1223,1724,73,199,3.46e-26,130,"CAG2248899.1 Plasminogen,Hemicentin-1,Coadhesin,Hepatocyte growth factor,Hepatocyte growth factor-like protein [Mytilus edulis]",6550,Mytilus edulis,Mollusca
contig_330,XP_029651433.1,40.8,343,126,4,18252,17234,15,280,7.2899999999999994e-62,230,XP_029651433.1 replication factor C subunit 5 isoform X3 [Octopus sinensis],2607531,Octopus sinensis,Mollusca
contig_331,XP_009170861.1,46,1041,222,10,71119,74014,845,1618,4.9499999999999995e-242,801,XP_009170861.1 hypothetical protein T265_14212 [Opisthorchis viverrini],6198,Opisthorchis viverrini,Platyhelminthes
contig_332,CAD7622326.1,40.9,132,69,3,24194,24589,233,355,3.06e-17,105,CAD7622326.1 unnamed protein product [Medioppia subpectinata],1979941,Medioppia subpectinata,Arthropoda
contig_333,XP_055310120.1,28.1,524,317,16,55589,57116,645,1122,1.17e-38,176,XP_055310120.1 transcription elongation regulator 1 isoform X1 [Sitodiplosis mosellana],263140,Sitodiplosis mosellana,Arthropoda
contig_334,XP_055300781.1,32.9,775,392,16,9670,7572,249,969,2.0299999999999995e-101,366,XP_055300781.1 replication factor C subunit 1 [Sitodiplosis mosellana],263140,Sitodiplosis mosellana,Arthropoda
contig_335,BDR56152.1,29.5,112,73,2,2946,3281,252,357,3.5e-4,58.5,BDR56152.1 tRNA-specific 2-thiouridylase MnmA [Lactobacillus sp. KimC2],2932183,2932183,0
contig_336,XP_046575081.1,22.9,2099,1305,64,29207,23109,1170,3010,1.3e-97,372,XP_046575081.1 LOW QUALITY PROTEIN: dynein axonemal heavy chain 1-like [Haliotis rubra],36100,Haliotis rubra,Mollusca
contig_337,PWI48805.1,45.2,177,85,4,946,420,138,302,5.93e-30,139,PWI48805.1 asparagine--tRNA ligase [Candidatus Heimdallarchaeota archaeon B3_Heim],2012493,Candidatus Heimdallarchaeota archaeon B3_Heim,Candidatus Heimdallarchaeota
contig_339,OMJ21869.1,34.5,368,194,10,3368,2275,181,503,8.219999999999999e-40,173,OMJ21869.1 Signal recognition particle receptor subunit alpha [Smittium culicis],133412,Smittium culicis,Zoopagomycota
contig_34,XP_046549186.1,37.4,452,270,9,3258,4588,18,463,6.12e-73,266,XP_046549186.1 tigger transposable element-derived protein 6-like [Haliotis rubra],36100,Haliotis rubra,Mollusca
contig_340,KAF1743855.1,38.3,313,160,10,21503,20579,12,295,3.9299999999999995e-40,171,"KAF1743855.1 hypothetical protein MXB_5506, partial [Myxobolus squamalis]",59785,Myxobolus squamalis,Cnidaria
contig_341,RMG91437.1,48.6,175,82,2,28140,27616,159,325,2.9199999999999995e-43,177,RMG91437.1 dihydrolipoyllysine-residue succinyltransferase [Zetaproteobacteria bacterium],2026807,Zetaproteobacteria bacterium,Proteobacteria
contig_342,KAF0147144.1,31.8,529,339,10,25288,23758,5,525,4.66e-53,211,KAF0147144.1 Uncharacterized protein FD143_3102 [Ignavibacteria bacterium],2053306,Ignavibacteria bacterium,Ignavibacteriae
contig_343,XP_032504555.1,35.8,707,214,8,32714,34622,4,538,1.1e-115,394,XP_032504555.1 protein transport protein Sec61 subunit alpha isoform X1 [Phocoena sinus],42100,Phocoena sinus,Chordata
contig_344,KAI5635815.1,34.1,589,293,14,33258,31581,692,1212,6.25e-64,257,KAI5635815.1 protein kinase domain-containing protein [Phthorimaea operculella],192464,Phthorimaea operculella,Arthropoda
contig_345,CAC5421280.1,70.2,248,67,1,11004,10261,13,253,5.839999999999999e-95,340,CAC5421280.1 CDC5L [Mytilus coruscus],42192,Mytilus coruscus,Mollusca
contig_346,XP_001811204.1,42.1,323,130,3,7189,8152,17,283,6.35e-67,249,XP_001811204.1 PREDICTED: tubulin gamma-1 chain isoform X2 [Tribolium castaneum],7070,Tribolium castaneum,Arthropoda
contig_347,KAF7495663.1,42.7,558,253,7,1949,3614,44,534,6.129999999999999e-128,426,KAF7495663.1 T-complex protein 1 subunit epsilon [Sarcoptes scabiei],52283,Sarcoptes scabiei,Arthropoda
contig_348,KAF5274963.1,22.7,792,398,14,18870,21224,178,760,6.17e-32,151,KAF5274963.1 hypothetical protein FQR65_LT04306 [Abscondita terminalis],2069292,Abscondita terminalis,Arthropoda
contig_349,XP_033755738.1,31.9,527,328,12,5052,6561,5,519,1.8399999999999997e-55,216,XP_033755738.1 tigger transposable element-derived protein 6-like [Pecten maximus],6579,Pecten maximus,Mollusca
contig_35,XP_055932589.1,22.8,197,147,1,3534,4120,94,285,3.39e-8,72,XP_055932589.1 pinin-like [Argiope bruennichi],94029,Argiope bruennichi,Arthropoda
contig_350,XP_033755738.1,36.9,377,227,2,53597,52499,1,372,3.25e-61,235,XP_033755738.1 tigger transposable element-derived protein 6-like [Pecten maximus],6579,Pecten maximus,Mollusca
contig_351,KAG0442155.1,34.3,467,265,13,15074,13750,5,451,2.16e-63,241,KAG0442155.1 Tigger transposable element-derived protein 6 [Dictyocoela muelleri],279532,Dictyocoela muelleri,Microsporidia
contig_352,WFS80099.1,27.7,524,274,22,4534,5924,1851,2324,6.01e-5,63.2,WFS80099.1 RNA polymerase beta'' subunit [Ulva meridionalis],434723,Ulva meridionalis,Chlorophyta
contig_353,XP_033761525.1,39,367,207,7,32364,33426,21,380,8e-62,236,XP_033761525.1 tigger transposable element-derived protein 4-like [Pecten maximus],6579,Pecten maximus,Mollusca
contig_354,XP_009987457.1,26.3,350,175,11,11843,10804,1931,2199,2.7e-13,91.3,XP_009987457.1 PREDICTED: FERM and PDZ domain-containing protein 2 [Tauraco erythrolophus],121530,Tauraco erythrolophus,Chordata
contig_356,XP_011403988.1,32.2,149,92,4,6078,5645,129,271,2.14e-11,83.2,XP_011403988.1 PREDICTED: uncharacterized protein LOC105312782 [Amphimedon queenslandica],400682,Amphimedon queenslandica,Porifera
contig_357,NWI59255.1,36.9,466,180,6,8391,9782,4,357,2.5299999999999997e-87,306,NWI59255.1 HDAC3 deacetylase [Calyptomena viridis],135972,Calyptomena viridis,Chordata
contig_358,CDJ85443.1,32.9,514,286,12,29074,30605,31,485,1.44e-46,194,CDJ85443.1 FAD-dependent pyridine nucleotide-disulphide oxidoreductase and Pyridine nucleotide-disulphide oxidoreductase domain containing protein [Haemonchus contortus],6289,Haemonchus contortus,Nematoda
contig_359,KFQ02353.1,39.7,239,129,4,8419,9117,354,581,1.1800000000000001e-36,164,KFQ02353.1 Protein kinase C delta type [Haliaeetus albicilla],8969,Haliaeetus albicilla,Chordata
contig_36,KAG4396438.1,48.1,734,286,10,3697,5886,205,847,3.29e-201,640,KAG4396438.1 hypothetical protein GLYMA_19G183400v4 [Glycine max],3847,Glycine max,Streptophyta
contig_360,QXI88256.1,27.4,514,268,22,1397,18,1524,1980,2.18e-4,59.3,QXI88256.1 RNA polymerase b''-subunit [Ulva intestinalis],3116,Ulva intestinalis,Chlorophyta
contig_361,QUB02984.1,25.5,1756,944,70,14970,10251,674,2230,1.85e-7,73.2,QUB02984.1 RNA polymerase beta'' subunit [Ulva sp.],3117;2812607,Ulva prolifera0Ulva sp.,Chlorophyta
contig_362,KHJ49141.1,38.1,147,85,2,4619,5049,73,215,1.69e-16,97.8,KHJ49141.1 cyclin domain protein [Trichuris suis],68888,Trichuris suis,Nematoda
contig_363,YP_004841734.1,25.6,997,537,42,1,2683,77,958,5.96e-13,88.6,YP_004841734.1 Ymf77 [Ichthyophthirius multifiliis],5932,Ichthyophthirius multifiliis,Ciliophora
contig_364,MCK4382177.1,22.5,1366,813,48,919,4655,81,1311,5.12e-10,78.6,MCK4382177.1 hypothetical protein [Candidatus Lokiarchaeota archaeon],2053489,Candidatus Lokiarchaeota archaeon,Candidatus Lokiarchaeota
contig_365,YP_009220456.1,23.6,1808,1016,74,18864,23695,807,2434,9.57e-9,77.4,YP_009220456.1 DNA-directed RNA polymerase subunit beta [Ulva fasciata],111617,Ulva fasciata,Chlorophyta
contig_366,CAF0988202.1,30.4,530,317,15,15801,14291,12,512,1.1799999999999999e-43,182,CAF0988202.1 unnamed protein product [Brachionus calyciflorus],104777,Brachionus calyciflorus,Rotifera
contig_368,TBU03337.1,28.2,1064,690,24,882,3976,109,1125,4.08e-102,368,"TBU03337.1 reverse transcriptase, partial [Hamiltosporidium magnivora]",148818,Hamiltosporidium magnivora,Microsporidia
contig_369,CAG4641479.1,36.5,340,146,4,14383,15384,466,737,1.2e-36,166,CAG4641479.1 EOG090X01LU [Eurycercus lamellatus],202080,Eurycercus lamellatus,Arthropoda
contig_37,CAH6723680.1,32.9,146,85,5,3145,3573,222,357,5.24e-8,73.6,CAH6723680.1 GPI ethanolamine phosphate transferase 3 [[Candida] jaroonii],467808,[Candida] jaroonii,Ascomycota
contig_370,YP_002000372.1,24.2,996,549,41,9625,6910,133,1000,4.82e-6,66.6,YP_002000372.1 group II intron maturase-specific domain protein [Oedogonium cardiacum],55995,Oedogonium cardiacum,Chlorophyta
contig_371,WGH24777.1,26.7,831,433,39,6429,4284,69,828,1.96e-6,67,WGH24777.1 MAG: PD-(D/E)XK nuclease family protein [Candidatus Shikimatogenerans bostrichidophilus],2943807,2943807,0
contig_372,BEH03872.1,27.9,420,227,19,12777,11626,33,408,7.35e-7,70.1,BEH03872.1 hypothetical protein NDNC_0380 [Candidatus Nasuia deltocephalinicola],1160784,Candidatus Nasuia deltocephalinicola,Proteobacteria
contig_373,KAB1213335.1,28.6,908,387,23,11949,9543,323,1074,2.01e-77,300,"KAB1213335.1 putative isoleucine--tRNA ligase, cytoplasmic [Morella rubra]",262757,Morella rubra,Streptophyta
contig_374,CAD7223446.1,35.5,256,161,3,23193,23954,184,437,7.489999999999999e-37,167,"CAD7223446.1 unnamed protein product, partial [Cyprideis torosa]",163714,Cyprideis torosa,Arthropoda
contig_375,RWS02415.1,34,147,95,2,10417,10854,92,237,2.54e-17,103,RWS02415.1 Mitogen-activated protein kinase kinase kinase 7-like protein [Dinothrombium tinctorium],1965070,Dinothrombium tinctorium,Arthropoda
contig_376,CAG4648477.1,24.2,898,485,25,23248,20756,235,1001,2.26e-49,209,"CAG4648477.1 EOG090X00LI, partial [Polyphemus pediculus]",77662,Polyphemus pediculus,Arthropoda
contig_377,KAJ6652892.1,41.4,1169,351,16,35011,31714,226,1125,8.33e-248,800,KAJ6652892.1 hypothetical protein lerEdw1_010550 [Lerista edwardsae],470340,Lerista edwardsae,Chordata
contig_378,XP_029635052.1,51.2,252,120,2,44074,44829,22,270,1.1700000000000001e-75,268,XP_029635052.1 uncharacterized protein LOC115210589 [Octopus sinensis],2607531,Octopus sinensis,Mollusca
contig_38,YP_010530066.1,27,1008,532,46,5126,2452,1419,2331,2.14e-8,75.5,YP_010530066.1 RNA polymerase b''-subunit [Ulva tepida],1451047,Ulva tepida,Chlorophyta
contig_380,CAF0988202.1,34.1,510,301,9,20326,18855,17,509,4.04e-73,268,CAF0988202.1 unnamed protein product [Brachionus calyciflorus],104777,Brachionus calyciflorus,Rotifera
contig_381,MBN3325954.1,40.4,713,341,12,19460,21397,169,864,1.1799999999999999e-129,445,MBN3325954.1 MCM3M factor [Atractosteus spatula],7917,Atractosteus spatula,Chordata
contig_382,XP_037602162.1,33,112,68,3,23344,23018,122,229,7.93e-5,61.2,XP_037602162.1 14-3-3 protein beta/alpha-1-like [Sebastes umbrosus],72105,Sebastes umbrosus,Chordata
contig_383,XP_053115784.1,32.5,120,71,2,643,311,148,266,2.19e-11,84.3,XP_053115784.1 DNA-directed RNA polymerase I subunit RPA1 [Hemicordylus capensis],884348,Hemicordylus capensis,Chordata
contig_384,KAI3387425.1,46.9,414,185,5,40873,42114,4057,4435,1.15e-99,380,KAI3387425.1 hypothetical protein SNEBB_000956 [Seison nebaliae],104778,Seison nebaliae,Rotifera
contig_385,PQE11119.1,37.2,417,162,9,14618,15816,4,336,1.3599999999999998e-56,218,PQE11119.1 phosphoglycerate kinase protein [Rutstroemia sp. NJR-2017a BVV2],2070413,Rutstroemia sp. NJR-2017a BVV2,Ascomycota
contig_386,KIK63841.1,57.8,102,41,1,83,382,314,415,6.34e-24,119,KIK63841.1 hypothetical protein GYMLUDRAFT_71959 [Collybiopsis luxurians FD-317 M1],944289,Gymnopus luxurians FD-317 M1,Basidiomycota
contig_387,MBZ3881425.1,41,432,203,7,18492,19634,2960,3386,6.33e-65,265,MBZ3881425.1 IgGFc-binding protein [Sciurus carolinensis],30640,Neosciurus carolinensis,Chordata
contig_388,KAG6782441.1,42.3,534,205,7,2481,888,529,959,1.2099999999999999e-103,382,KAG6782441.1 hypothetical protein POTOM_011841 [Populus tomentosa],118781,Populus tomentosa,Streptophyta
contig_389,EQB60175.1,38.5,205,122,2,5497,4891,191,393,5.719999999999999e-34,150,EQB60175.1 hypothetical protein NAPIS_ORF02255 [Vairimorpha apis BRL 01],1037528,Nosema apis BRL 01,Microsporidia
contig_39,XP_046810693.1,29.2,612,361,20,11625,9927,29,609,2.14e-40,174,XP_046810693.1 uncharacterized protein LOC124420735 isoform X1 [Lucilia cuprina],7375,Lucilia cuprina,Arthropoda
